Type,Product,Unit,TickSize
futures,a,10,1.0
futures,b,10,1.0
futures,bb,500,0.05
futures,c,10,1.0
futures,cs,10,1.0
futures,eb,5,1.0
futures,eg,10,1.0
futures,fb,10,0.5
futures,i,100,0.5
futures,j,100,0.5
futures,jd,10,1.0
futures,jm,60,0.5
futures,l,5,1.0
futures,lh,16,5.0
futures,m,10,1.0
futures,p,10,2.0
futures,pg,20,1.0
futures,pp,5,1.0
futures,rr,10,1.0
futures,v,5,1.0
futures,y,10,2.0
option,a,10,0.5
option,b,10,0.5
option,c,10,0.5
option,eb,5,0.5
option,eg,10,0.5
option,i,100,0.1
option,l,5,0.5
option,m,10,0.5
option,p,10,0.5
option,pg,20,0.2
option,pp,5,0.5
option,v,5,0.5
option,y,10,0.5
